Date,NFCI
2003-01-03,-0.48701
2003-01-10,-0.50015
2003-01-17,-0.51257
2003-01-24,-0.52224
2003-01-31,-0.52942
2003-02-07,-0.53334
2003-02-14,-0.53596
2003-02-21,-0.53859
2003-02-28,-0.54281
2003-03-07,-0.54941
2003-03-14,-0.55945
2003-03-21,-0.57418
2003-03-28,-0.59379
2003-04-04,-0.61713
2003-04-11,-0.64272
2003-04-18,-0.66736
2003-04-25,-0.68874
2003-05-02,-0.70505
2003-05-09,-0.71471
2003-05-16,-0.71917
2003-05-23,-0.71964
2003-05-30,-0.71825
2003-06-06,-0.71637
2003-06-13,-0.71567
2003-06-20,-0.71712
2003-06-27,-0.71976
2003-07-04,-0.72269
2003-07-11,-0.72424
2003-07-18,-0.7225
2003-07-25,-0.71747
2003-08-01,-0.70759
2003-08-08,-0.69736
2003-08-15,-0.68727
2003-08-22,-0.67909
2003-08-29,-0.67387
2003-09-05,-0.67234
2003-09-12,-0.67462
2003-09-19,-0.67994
2003-09-26,-0.68688
2003-10-03,-0.69472
2003-10-10,-0.70332
2003-10-17,-0.7113
2003-10-24,-0.71696
2003-10-31,-0.72142
2003-11-07,-0.72351
2003-11-14,-0.72364
2003-11-21,-0.7224
2003-11-28,-0.72106
2003-12-05,-0.7192
2003-12-12,-0.71997
2003-12-19,-0.72331
2003-12-26,-0.72961
2004-01-02,-0.73955
2004-01-09,-0.75277
2004-01-16,-0.76665
2004-01-23,-0.78
2004-01-30,-0.79228
2004-02-06,-0.80222
2004-02-13,-0.81091
2004-02-20,-0.81702
2004-02-27,-0.8205
2004-03-05,-0.82115
2004-03-12,-0.81968
2004-03-19,-0.81552
2004-03-26,-0.80893
2004-04-02,-0.80046
2004-04-09,-0.78943
2004-04-16,-0.77595
2004-04-23,-0.76068
2004-04-30,-0.74522
2004-05-07,-0.73027
2004-05-14,-0.71756
2004-05-21,-0.70749
2004-05-28,-0.70034
2004-06-04,-0.69553
2004-06-11,-0.69288
2004-06-18,-0.69149
2004-06-25,-0.6919
2004-07-02,-0.69323
2004-07-09,-0.69521
2004-07-16,-0.69699
2004-07-23,-0.699
2004-07-30,-0.70106
2004-08-06,-0.70226
2004-08-13,-0.70407
2004-08-20,-0.70534
2004-08-27,-0.70637
2004-09-03,-0.70604
2004-09-10,-0.70588
2004-09-17,-0.70552
2004-09-24,-0.70488
2004-10-01,-0.70409
2004-10-08,-0.70399
2004-10-15,-0.7047
2004-10-22,-0.70728
2004-10-29,-0.71041
2004-11-05,-0.71396
2004-11-12,-0.71814
2004-11-19,-0.7203
2004-11-26,-0.72092
2004-12-03,-0.71927
2004-12-10,-0.71621
2004-12-17,-0.7114
2004-12-24,-0.70613
2004-12-31,-0.70198
2005-01-07,-0.69965
2005-01-14,-0.70014
2005-01-21,-0.70267
2005-01-28,-0.70729
2005-02-04,-0.7128
2005-02-11,-0.71678
2005-02-18,-0.71757
2005-02-25,-0.71476
2005-03-04,-0.70774
2005-03-11,-0.69739
2005-03-18,-0.68398
2005-03-25,-0.66944
2005-04-01,-0.65499
2005-04-08,-0.64162
2005-04-15,-0.62988
2005-04-22,-0.62039
2005-04-29,-0.61332
2005-05-06,-0.60817
2005-05-13,-0.60456
2005-05-20,-0.60294
2005-05-27,-0.60331
2005-06-03,-0.604
2005-06-10,-0.60543
2005-06-17,-0.60658
2005-06-24,-0.6081
2005-07-01,-0.60999
2005-07-08,-0.61147
2005-07-15,-0.61439
2005-07-22,-0.61634
2005-07-29,-0.61743
2005-08-05,-0.61639
2005-08-12,-0.61388
2005-08-19,-0.60881
2005-08-26,-0.60213
2005-09-02,-0.5942
2005-09-09,-0.58631
2005-09-16,-0.57883
2005-09-23,-0.57291
2005-09-30,-0.56978
2005-10-07,-0.57052
2005-10-14,-0.57465
2005-10-21,-0.58053
2005-10-28,-0.58677
2005-11-04,-0.59079
2005-11-11,-0.59229
2005-11-18,-0.58971
2005-11-25,-0.58471
2005-12-02,-0.57799
2005-12-09,-0.57138
2005-12-16,-0.56639
2005-12-23,-0.56485
2005-12-30,-0.56655
2006-01-06,-0.57274
2006-01-13,-0.58261
2006-01-20,-0.59329
2006-01-27,-0.60552
2006-02-03,-0.61635
2006-02-10,-0.62495
2006-02-17,-0.63154
2006-02-24,-0.63563
2006-03-03,-0.63675
2006-03-10,-0.6362
2006-03-17,-0.63479
2006-03-24,-0.6332
2006-03-31,-0.63062
2006-04-07,-0.62844
2006-04-14,-0.62608
2006-04-21,-0.6243
2006-04-28,-0.62153
2006-05-05,-0.61628
2006-05-12,-0.60895
2006-05-19,-0.59752
2006-05-26,-0.58407
2006-06-02,-0.56973
2006-06-09,-0.5559
2006-06-16,-0.54333
2006-06-23,-0.53431
2006-06-30,-0.53017
2006-07-07,-0.5308
2006-07-14,-0.53664
2006-07-21,-0.54688
2006-07-28,-0.56054
2006-08-04,-0.5748
2006-08-11,-0.58804
2006-08-18,-0.5986
2006-08-25,-0.60545
2006-09-01,-0.60833
2006-09-08,-0.60835
2006-09-15,-0.60718
2006-09-22,-0.60657
2006-09-29,-0.60759
2006-10-06,-0.61115
2006-10-13,-0.61729
2006-10-20,-0.62395
2006-10-27,-0.63033
2006-11-03,-0.63406
2006-11-10,-0.63532
2006-11-17,-0.63385
2006-11-24,-0.63026
2006-12-01,-0.62593
2006-12-08,-0.62308
2006-12-15,-0.62361
2006-12-22,-0.62811
2006-12-29,-0.63657
2007-01-05,-0.64844
2007-01-12,-0.66161
2007-01-19,-0.674
2007-01-26,-0.68346
2007-02-02,-0.6872
2007-02-09,-0.68568
2007-02-16,-0.67786
2007-02-23,-0.66524
2007-03-02,-0.64944
2007-03-09,-0.63489
2007-03-16,-0.6227
2007-03-23,-0.6144
2007-03-30,-0.60856
2007-04-06,-0.60481
2007-04-13,-0.60117
2007-04-20,-0.59672
2007-04-27,-0.59008
2007-05-04,-0.58116
2007-05-11,-0.57242
2007-05-18,-0.56322
2007-05-25,-0.55449
2007-06-01,-0.54791
2007-06-08,-0.54484
2007-06-15,-0.54124
2007-06-22,-0.53613
2007-06-29,-0.52438
2007-07-06,-0.50002
2007-07-13,-0.45566
2007-07-20,-0.3874
2007-07-27,-0.29342
2007-08-03,-0.18099
2007-08-10,-0.06002
2007-08-17,0.05908
2007-08-24,0.15461
2007-08-31,0.20693
2007-09-07,0.22311
2007-09-14,0.1992
2007-09-21,0.14186
2007-09-28,0.07595
2007-10-05,0.0146
2007-10-12,-0.02631
2007-10-19,-0.03341
2007-10-26,-0.0027
2007-11-02,0.0645
2007-11-09,0.16312
2007-11-16,0.2746
2007-11-23,0.3877
2007-11-30,0.48146
2007-12-07,0.54451
2007-12-14,0.57087
2007-12-21,0.55984
2007-12-28,0.5194
2008-01-04,0.47082
2008-01-11,0.42518
2008-01-18,0.4009
2008-01-25,0.40811
2008-02-01,0.43779
2008-02-08,0.49942
2008-02-15,0.58455
2008-02-22,0.68414
2008-02-29,0.78471
2008-03-07,0.87666
2008-03-14,0.93803
2008-03-21,0.96257
2008-03-28,0.94188
2008-04-04,0.88873
2008-04-11,0.81473
2008-04-18,0.73221
2008-04-25,0.64637
2008-05-02,0.57102
2008-05-09,0.51623
2008-05-16,0.48367
2008-05-23,0.47879
2008-05-30,0.50021
2008-06-06,0.54622
2008-06-13,0.60053
2008-06-20,0.65737
2008-06-27,0.70998
2008-07-04,0.74265
2008-07-11,0.75172
2008-07-18,0.74182
2008-07-25,0.71312
2008-08-01,0.68184
2008-08-08,0.66562
2008-08-15,0.6728
2008-08-22,0.7284
2008-08-29,0.83649
2008-09-05,1.00442
2008-09-12,1.226
2008-09-19,1.51077
2008-09-26,1.79247
2008-10-03,2.07298
2008-10-10,2.32384
2008-10-17,2.51798
2008-10-24,2.65787
2008-10-31,2.77706
2008-11-07,2.86785
2008-11-14,2.94698
2008-11-21,3.02305
2008-11-28,3.04961
2008-12-05,3.04308
2008-12-12,2.9788
2008-12-19,2.85452
2008-12-26,2.69493
2009-01-02,2.54205
2009-01-09,2.38937
